"","Sample","depth_upper_cmbs","depth_lower_cmbs","Area_Sum","Area_avg","Area_min","Area_max","Dia_avg","Dia_min","Dia_max","Count","Diameter","Rect","AR","Circ","Round","Solidity","Skewness","Probe","Sample_vol_mL"
"1","SP_SS_1A_01",20,22,2503633.361,50072.66722,9215.22,329733.138,0.31690906,0.131306,0.936799,50,316.90906,0.58114252979396,1.825,0.54308,0.61196,0.85706,2.93079481475084,"1A",5
"2","SP_SS_1A_02",22,24,2766514.87,43912.9344444444,5020.479,482593.497,0.286952571428571,0.132683,0.91019,63,286.952571428571,0.632587981568646,1.57466666666667,0.570301587301587,0.675,0.864634920634921,5.18278179942835,"1A",5
"3","SP_SS_1A_03",24,26,1185097.166,33859.9190285714,9479.456,86900.52,0.270596428571429,0.140305,0.427958,35,270.596428571429,0.610493023882927,1.59597142857143,0.600285714285714,0.690285714285714,0.870171428571429,1.12003577399069,"1A",5
"4","SP_SS_1A_04",26,28,3661481.224,44652.2100487805,6308.628,1201050.396,0.294388207317073,0.103608,1.698215,82,294.388207317073,0.577850207905823,2.11537804878049,0.574890243902439,0.577012195121951,0.856682926829268,8.33672756395877,"1A",5
"5","SP_SS_1A_05",28,30,3299511.324,40237.9429756098,6738.011,288049.955,0.30551112195122,0.120004,0.869356,82,305.51112195122,0.597127605453503,1.83276829268293,0.601768292682927,0.615451219512195,0.872,3.70429478305194,"1A",5
"6","SP_SS_1A_06",30,32,1844101.028,37634.7148571429,9347.338,204584.5,0.300179387755102,0.147758,0.714518,49,300.179387755102,0.601808064332026,2.01240816326531,0.594469387755102,0.579469387755102,0.871428571428571,2.71491025056234,"1A",5
"7","SP_SS_1A_07",32,34,3045118.398,42293.3110833333,6473.775,178127.899,0.313113888888889,0.138409,0.829121,72,313.113888888889,0.593779045343998,1.75606944444444,0.553236111111111,0.637444444444444,0.856916666666667,1.99533655314764,"1A",5
"8","SP_SS_1A_08",34,36,7011957.01,44100.3585534591,3038.711,476416.988,0.306098943396226,0.087726,1.049602,159,306.098943396226,0.599625635393541,1.86083018867925,0.579314465408805,0.632459119496855,0.863578616352201,4.20597852360359,"1A",5
"9","SP_SS_1A_09",36,38,3370062.259,37865.8680786517,8059.189,230182.334,0.309142359550562,0.11848,0.763849,89,309.142359550562,0.587211363896165,2.16210112359551,0.551898876404494,0.597831460674157,0.862662921348315,3.26992030717025,"1A",5
"10","SP_SS_1A_10",38,40,2975459.257,32697.3544725275,6539.834,274375.757,0.278542626373626,0.131181,0.756353,91,278.542626373626,0.602793825765019,1.77782417582418,0.563032967032967,0.617494505494505,0.861604395604396,5.90155106129405,"1A",5
"11","SP_SS_1A_11",40,42,2218159.709,43493.327627451,9380.368,297463.352,0.302805274509804,0.139834,0.794788,51,302.805274509804,0.598322372955576,1.74762745098039,0.534882352941176,0.633117647058824,0.854235294117647,3.14115113062545,"1A",5
"12","SP_SS_1A_12",42,44,2863059.991,58429.7957346939,13839.345,514764.195,0.357878918367347,0.167063,1.082491,49,357.878918367347,0.594943756307249,2.02765306122449,0.527510204081633,0.579163265306122,0.864285714285714,4.2017131005433,"1A",5
"13","SP_SS_1A_13",44,46,2996928.412,40499.0325945946,6440.745,203263.321,0.336322405405405,0.118341,1.567207,74,336.322405405405,0.541512662604888,2.17733783783784,0.473756756756757,0.551540540540541,0.823986486486487,2.30729691725495,"1A",5
"14","SP_SS_1A_14",46,48,2659433.342,53188.66684,6143.48,735434.044,0.29914672,0.127607,1.240634,50,299.14672,0.597544852237419,1.64628,0.5535,0.66288,0.85482,4.8028762644578,"1A",5
"15","SP_SS_1A_15",48,50,2239364.628,34451.7635076923,9578.545,483485.293,0.2643172,0.126175,0.875112,65,264.3172,0.604587915479801,1.76946153846154,0.622246153846154,0.659661538461538,0.870769230769231,6.78552896595104,"1A",5
"16","SP_SS_1A_16",50,52,7659730.859,56738.7471037037,4987.449,1662802.302,0.303563014814815,0.101839,1.707506,135,303.563014814815,0.60572691320317,1.75323703703704,0.583355555555556,0.647992592592593,0.857607407407407,8.53354243101398,"1A",5
