"","DEPTH UP (cm)","DEPTH DOWN (cm)","AGE UP (cal BP)","AGE DOWN (cal BP)","VOLUME (cm3)","CHARCOAL QUANTITY"
"1",20,22,NA,NA,5,50
"2",22,24,NA,NA,5,63
"3",24,26,NA,NA,5,35
"4",26,28,NA,NA,5,82
"5",28,30,NA,NA,5,82
"6",30,32,NA,NA,5,49
"7",32,34,NA,NA,5,72
"8",34,36,NA,NA,5,159
"9",36,38,NA,NA,5,89
"10",38,40,NA,NA,5,91
"11",40,42,NA,NA,5,51
"12",42,44,NA,NA,5,49
"13",44,46,NA,NA,5,74
"14",46,48,NA,NA,5,50
"15",48,50,NA,NA,5,65
"16",50,52,NA,NA,5,135
"17",52,54,NA,NA,5,21
"18",54,56,NA,NA,5,13
"19",56,58,NA,NA,5,15
"20",58,60,NA,NA,5,8
"21",60,62,NA,NA,5,15
"22",62,64,NA,NA,5,18
"23",64,66,NA,NA,5,11
"24",66,68,NA,NA,5,15
"25",68,70,NA,NA,5,NA
"26",70,72,NA,NA,5,NA
"27",72,74,NA,NA,5,14
"28",74,76,NA,NA,5,54
"29",76,78,NA,NA,5,24
"30",78,80,NA,NA,5,16
"31",80,82,NA,NA,5,4
"32",82,84,NA,NA,5,31
"33",84,86,NA,NA,5,13
"34",86,88,NA,NA,5,15
"35",88,90,NA,NA,5,15
"36",90,92,NA,NA,5,5
"37",92,94,NA,NA,5,18
"38",94,96,NA,NA,5,12
"39",96,98,NA,NA,5,13
"40",98,100,NA,NA,5,10
"41",100,102,NA,NA,5,18
"42",102,104,NA,NA,5,31
"43",104,106,NA,NA,5,14
"44",106,108,NA,NA,5,15
"45",108,110,NA,NA,5,31
"46",110,112,NA,NA,5,14
"47",112,114,NA,NA,5,53
"48",114,116,NA,NA,5,72
"49",116,118,NA,NA,5,20
"50",118,120,NA,NA,5,17
