"","Sample","Area","Feret","Perim.","Major","Minor","Width","Height","Min","Max","AR","Circ.","Round","Solidity","Ellipse","PMAJ","Struct","PA","Rect","Region","Study_Area","Probe","Sample_Num","Depths_CMBS","depth_upper_cmbs","depth_lower_cmbs","Interval_cm","Raw_Mass_g","Notes"
"1","SP_SS_1A_01",54630.733,376.206,1015.24,351.754,197.746,264.368,321.839,0,87,1.779,0.666,0.562,0.896,0.649109609704697,2.8862216207918,43.5,0.0185836788973708,0.642080487267037,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"2","SP_SS_1A_01",60476.948,377.958,1458.895,369.842,208.202,344.828,316.092,1,99,1.776,0.357,0.563,0.862,0.887181875273908,3.94464392902915,50,0.0241231584636182,0.554847761855642,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"3","SP_SS_1A_01",9215.22,131.306,415.666,116.497,100.717,109.195,126.437,0,72,1.157,0.67,0.865,0.857,0.800127781933816,3.5680403787222,36,0.0451064651739188,0.667465422747587,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"4","SP_SS_1A_01",137997.1,564.273,1842.628,512.277,342.985,563.218,419.54,1,91,1.494,0.511,0.67,0.889,0.809066685289999,3.59693681348177,46,0.0133526574109166,0.584009699180959,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"5","SP_SS_1A_01",76265.032,534.266,1334.431,562.915,172.501,390.805,471.264,0,84,3.263,0.538,0.306,0.882,0.533421174103635,2.37057282182923,42,0.0174972849942553,0.41409604269522,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"6","SP_SS_1A_01",36398.469,320.451,1107.434,282.503,164.047,287.356,212.644,3,78,1.722,0.373,0.581,0.786,0.881422282667999,3.9200787248277,40.5,0.0304252906901112,0.595675466915745,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"7","SP_SS_1A_01",329733.138,936.799,3306.384,791.444,530.46,718.391,839.08,0,77,1.492,0.379,0.67,0.81,0.939905981355729,4.17766007449674,38.5,0.0100274543834293,0.547013876211034,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"8","SP_SS_1A_01",43565.863,285.8,1038.468,261.876,211.817,275.862,247.126,0,90,1.236,0.508,0.809,0.879,0.891174784796309,3.96549511982771,45,0.0238367365751483,0.639051709883109,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"9","SP_SS_1A_01",97337.83,563.717,1987.532,576.255,215.069,488.506,534.483,0,73,2.679,0.31,0.373,0.757,0.776057606532008,3.44904946594823,36.5,0.0204189059895829,0.372801680540523,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"10","SP_SS_1A_01",25399.658,235.632,647.763,206.537,156.582,229.885,172.414,0,57,1.319,0.761,0.758,0.91,0.704624573047935,3.13630487515554,28.5,0.0255028236994372,0.640832762549068,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"11","SP_SS_1A_01",17175.321,191.043,570.669,174.358,125.422,143.678,189.655,1,82,1.39,0.663,0.719,0.863,0.735162771776419,3.27297284896592,41.5,0.0332261038963988,0.630304331787784,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"12","SP_SS_1A_01",118476.687,556.76,1617.942,557.097,270.777,551.724,339.08,1,109,2.057,0.569,0.486,0.887,0.653398129655805,2.90423750262522,55,0.0136562056297202,0.633299070638971,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"13","SP_SS_1A_01",41947.419,305.95,1032.312,286.764,186.248,270.115,293.103,0,72,1.54,0.495,0.649,0.801,0.809338541661121,3.59986609197807,36,0.0246096666877168,0.529829674504325,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"14","SP_SS_1A_01",13409.962,169.126,498.915,160.395,106.451,166.667,126.437,1,77,1.507,0.677,0.664,0.885,0.69867340113934,3.11053960534929,39,0.0372048034140589,0.636361279378488,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"15","SP_SS_1A_01",15292.642,354.137,872.787,331.409,58.753,241.379,264.368,0,65,5.641,0.252,0.177,0.69,0.592601806921057,2.63356456825252,32.5,0.0570723489113261,0.239648189643556,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"16","SP_SS_1A_01",14962.347,167.359,754.817,147.616,129.056,149.425,160.92,1,94,1.144,0.33,0.874,0.833,1.14752218296175,5.11338201820941,47.5,0.0504477673188571,0.622252190443681,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"17","SP_SS_1A_01",10833.664,142.756,432.499,136.206,101.272,132.184,109.195,6,63,1.345,0.728,0.744,0.885,0.712757603671693,3.17533001483048,34.5,0.0399217660802476,0.750574351292777,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"18","SP_SS_1A_01",36728.764,318.642,834.46,298.256,156.793,235.632,264.368,1,77,1.902,0.663,0.526,0.901,0.62917152900955,2.79779786492141,39,0.0227195230419406,0.589607716437878,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"19","SP_SS_1A_01",24177.568,237.378,670.173,227.787,135.143,235.632,178.161,0,63,1.686,0.676,0.593,0.898,0.661345316109701,2.94210380750438,31.5,0.0277187928909971,0.575924696699277,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"20","SP_SS_1A_01",50601.139,403.324,2012.154,391.368,164.621,373.563,344.828,0,156,2.377,0.157,0.421,0.761,1.15658558546243,5.14133500950512,78,0.0397649942227585,0.392820292717019,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"21","SP_SS_1A_01",13244.815,177.511,469.771,165.073,102.16,126.437,160.92,1,90,1.616,0.754,0.619,0.916,0.639341213332537,2.84583790201911,45.5,0.0354682945741409,0.650971072395637,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"22","SP_SS_1A_01",25168.452,274.181,947.092,226.36,141.569,183.908,241.379,1,101,1.599,0.353,0.625,0.788,0.940434339013848,4.1840077752253,51,0.0376301252059523,0.566965195660654,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"23","SP_SS_1A_01",17571.675,188.257,628.957,170.028,131.584,155.172,172.414,1,67,1.292,0.558,0.774,0.869,0.830710151233135,3.69913778907004,34,0.0357937988268051,0.656791126629087,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"24","SP_SS_1A_01",18892.853,199.252,574.614,177.4,135.599,189.655,160.92,0,67,1.308,0.719,0.764,0.915,0.727485092278992,3.23908680947012,33.5,0.0304143582761164,0.619046431976091,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
"25","SP_SS_1A_01",63251.423,414.79,1240.026,370.086,217.61,264.368,413.793,0,75,1.701,0.517,0.588,0.909,0.753561203553927,3.35064282355993,37.5,0.0196047130828978,0.578200250399989,"Spain","Son Servera","1A","1","20-22",20,22,2,2.768,""
