Sample,Region,Study_Area,Probe,Sample_Num,Depths_CMBS,depth_upper_cmbs,depth_lower_cmbs,Interval_cm,Raw_Mass_g,Notes
SP_SS_1A_Plowzone,Spain,Son Servera,1A,Plowzone,0-20,0,20,20,87.725,
SP_SS_1A_01,Spain,Son Servera,1A,1,20-22,20,22,2,2.768,
SP_SS_1A_02,Spain,Son Servera,1A,2,22-24,22,24,2,4.522,
SP_SS_1A_03,Spain,Son Servera,1A,3,24-26,24,26,2,6.317,
SP_SS_1A_04,Spain,Son Servera,1A,4,26-28,26,28,2,8.536,
SP_SS_1A_05,Spain,Son Servera,1A,5,28-30,28,30,2,7.842,
SP_SS_1A_06,Spain,Son Servera,1A,6,30-32,30,32,2,7.847,
SP_SS_1A_07,Spain,Son Servera,1A,7,32-34,32,34,2,10.687,
SP_SS_1A_08,Spain,Son Servera,1A,8,34-36,34,36,2,8.821,
SP_SS_1A_09,Spain,Son Servera,1A,9,36-38,36,38,2,8.208,
SP_SS_1A_10,Spain,Son Servera,1A,10,38-40,38,40,2,9.072,
SP_SS_1A_11,Spain,Son Servera,1A,11,40-42,40,42,2,3.609,
SP_SS_1A_12,Spain,Son Servera,1A,12,42-44,42,44,2,7.041,
SP_SS_1A_13,Spain,Son Servera,1A,13,44-46,44,46,2,7.808,
SP_SS_1A_14,Spain,Son Servera,1A,14,46-48,46,48,2,7.727,
SP_SS_1A_15,Spain,Son Servera,1A,15,48-50,48,50,2,8.458,
SP_SS_1A_16,Spain,Son Servera,1A,16,50-52,50,52,2,9.069,
SP_SS_1A_17,Spain,Son Servera,1A,17,52-54,52,54,2,8.463,
SP_SS_1A_18,Spain,Son Servera,1A,18,54-56,54,56,2,10.507,
SP_SS_1A_19,Spain,Son Servera,1A,19,56-58,56,58,2,8.948,
SP_SS_1A_20,Spain,Son Servera,1A,20,58-60,58,60,2,9.877,
SP_SS_1A_21,Spain,Son Servera,1A,21,60-62,60,62,2,9.981,
SP_SS_1A_22,Spain,Son Servera,1A,22,62-64,62,64,2,9.993,
SP_SS_1A_23,Spain,Son Servera,1A,23,64-66,64,66,2,5.485,
SP_SS_1A_24,Spain,Son Servera,1A,24,66-68,66,68,2,7.916,
SP_SS_1A_25,Spain,Son Servera,1A,25,72-74,72,74,2,3.768,
SP_SS_1A_26,Spain,Son Servera,1A,26,74-76,74,76,2,7.613,No sample remianing for grain size analysis
SP_SS_1A_27,Spain,Son Servera,1A,27,76-78,76,78,2,4.799,No sample remianing for grain size analysis
SP_SS_1A_28,Spain,Son Servera,1A,28,78-80,78,80,2,9.245,
SP_SS_1A_29,Spain,Son Servera,1A,29,80-82,80,82,2,6.524,
SP_SS_1A_30,Spain,Son Servera,1A,30,82-84,82,84,2,5.158,
SP_SS_1A_31,Spain,Son Servera,1A,31,84-86,84,86,2,4.393,
SP_SS_1A_32,Spain,Son Servera,1A,32,86-88,86,88,2,4.38,
SP_SS_1A_33,Spain,Son Servera,1A,33,88-90,88,90,2,5.088,
SP_SS_1A_34,Spain,Son Servera,1A,34,90-92,90,92,2,5.978,
SP_SS_1A_35,Spain,Son Servera,1A,35,92-94,92,94,2,4.533,
SP_SS_1A_36,Spain,Son Servera,1A,36,94-96,94,96,2,5.559,
SP_SS_1A_37,Spain,Son Servera,1A,37,96-98,96,98,2,3.855,
SP_SS_1A_38,Spain,Son Servera,1A,38,98-100,98,100,2,3.144,
SP_SS_1A_39,Spain,Son Servera,1A,39,100-102,100,102,2,4.363,
SP_SS_1A_40,Spain,Son Servera,1A,40,102-104,102,104,2,4.018,
SP_SS_1A_41,Spain,Son Servera,1A,41,104-106,104,106,2,4.031,
SP_SS_1A_42,Spain,Son Servera,1A,42,106-108,106,108,2,4.469,
SP_SS_1A_43,Spain,Son Servera,1A,43,108-110,108,110,2,4.768,
SP_SS_1A_44,Spain,Son Servera,1A,44,110-112,110,112,2,4.273,
SP_SS_1A_45,Spain,Son Servera,1A,45,112-114,112,114,2,3.344,
SP_SS_1A_46,Spain,Son Servera,1A,46,114-116,114,116,2,4.983,
SP_SS_1A_47,Spain,Son Servera,1A,47,116-118,116,118,2,8.322,
SP_SS_1A_48,Spain,Son Servera,1A,48,118-120,118,120,2,11.228,
