 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,18265.294,0,83,699.317,3712.644,3431.035,224.138,166.667,212.838,109.267,151.507,0.469,231.389,3712.644,3482.759,165.619,132.931,1.948,0.513,0.793
2,27546.573,4,62,867.787,6206.897,3614.943,195.402,241.379,256.207,136.895,58.918,0.460,273.759,6212.644,3856.322,50.964,148.998,1.872,0.534,0.848
3,40890.476,0,54,969.503,1235.632,3057.471,321.839,224.138,275.607,188.905,20.174,0.547,329.145,1235.632,3258.621,12.095,220.874,1.459,0.685,0.854
4,130631.530,1,63,2248.772,339.080,3908.046,500.000,557.471,514.409,323.333,56.263,0.325,585.248,500.000,4454.023,54.593,445.876,1.591,0.629,0.728
5,18397.411,6,73,584.713,6241.379,2810.345,137.931,195.402,188.679,124.149,83.666,0.676,205.374,6270.115,2810.345,107.928,133.580,1.520,0.658,0.888
6,41650.154,2,129,963.925,2287.356,1132.184,327.586,247.126,330.870,160.276,151.679,0.563,340.247,2287.356,1201.149,164.320,169.569,2.064,0.484,0.864
7,72995.115,0,55,1241.998,511.494,2160.920,385.057,344.828,445.335,208.697,39.137,0.595,467.818,517.241,2471.264,37.011,235.151,2.134,0.469,0.903
8,32963.405,1,61,1093.728,5672.414,1833.333,431.034,178.161,399.780,104.984,16.949,0.346,460.093,5672.414,1994.253,20.472,126.656,3.808,0.263,0.808
9,33491.876,3,81,884.042,6454.023,1005.747,235.632,281.609,306.213,139.260,60.897,0.539,304.164,6545.977,1287.356,67.797,152.431,2.199,0.455,0.829
10,61170.567,0,105,1276.481,1896.552,4591.954,264.368,459.770,477.023,163.273,69.062,0.472,467.782,1954.023,5051.724,79.380,175.584,2.922,0.342,0.881
11,10569.428,1,57,450.726,1321.839,1959.770,166.667,109.195,176.817,76.109,22.670,0.654,185.072,1321.839,2063.218,25.769,84.828,2.323,0.430,0.891
12,19553.443,0,56,590.869,6551.724,2890.805,172.414,172.414,181.064,137.499,40.397,0.704,195.233,6574.713,3045.977,47.386,156.806,1.317,0.759,0.877
13,13211.786,0,67,724.278,6333.333,1298.851,166.667,201.149,218.473,76.997,61.622,0.316,231.175,6362.069,1500.000,55.125,125.415,2.837,0.352,0.606
14,15688.995,1,109,802.188,4074.713,2672.414,195.402,206.897,226.157,88.327,51.795,0.306,273.034,4091.954,2879.310,49.268,101.334,2.560,0.391,0.730
15,15589.907,0,68,546.864,747.126,4752.874,172.414,143.678,171.123,115.997,26.062,0.655,198.172,747.126,4896.552,29.539,133.512,1.475,0.678,0.864
16,17373.498,1,65,636.268,1339.080,1132.184,160.920,155.172,165.167,133.929,32.880,0.539,195.740,1350.575,1281.609,40.236,145.248,1.233,0.811,0.837
17,34515.790,0,99,1192.654,4172.414,1431.035,241.379,258.621,271.960,161.593,128.206,0.305,299.733,4212.644,1431.035,122.471,192.768,1.683,0.594,0.799
18,29065.928,0,61,806.949,1977.012,3287.356,206.897,252.874,220.285,168.000,102.825,0.561,263.680,2017.241,3287.356,106.460,202.765,1.311,0.763,0.822
19,91954.028,0,70,1424.173,3178.161,1701.149,362.069,528.736,489.912,238.981,63.777,0.570,549.445,3281.609,2229.885,74.219,261.742,2.050,0.488,0.859
20,41485.007,0,76,926.075,4126.437,304.598,258.621,264.368,281.264,187.797,43.978,0.608,311.513,4149.425,551.724,52.496,199.129,1.498,0.668,0.889
21,16085.349,0,71,532.820,689.655,4477.012,160.920,183.908,160.301,127.763,64.030,0.712,187.113,741.379,4660.920,79.380,143.610,1.255,0.797,0.881
22,7629.806,0,137,544.892,5701.150,3632.184,109.195,126.437,119.947,80.990,58.906,0.323,138.170,5712.644,3758.621,45.000,96.361,1.481,0.675,0.726
23,6440.745,1,65,456.882,5735.632,3775.862,109.195,109.195,93.686,87.533,92.297,0.388,118.341,5741.379,3798.851,150.945,103.635,1.070,0.934,0.749
24,13310.874,0,49,549.075,4396.552,5063.219,137.931,189.655,201.621,84.059,55.276,0.555,224.800,4402.299,5252.874,57.529,93.468,2.399,0.417,0.862
25,65365.309,0,127,1366.941,4534.483,2752.874,408.046,431.034,534.034,155.843,131.117,0.440,516.890,4534.483,2816.092,138.155,193.929,3.427,0.292,0.820
26,13013.609,0,73,552.442,2695.402,1890.805,172.414,143.678,163.347,101.437,155.362,0.536,178.254,2701.149,1948.276,159.228,131.949,1.610,0.621,0.794
27,28801.693,0,147,884.042,3890.805,1528.736,298.851,229.885,331.049,110.774,31.202,0.463,366.782,3890.805,1752.874,35.433,122.681,2.989,0.335,0.865
28,13806.316,0,58,611.308,1678.161,994.253,201.149,195.402,258.708,67.948,134.843,0.464,276.341,1683.908,994.253,135.000,78.842,3.807,0.263,0.859
29,34119.436,0,58,936.175,5827.586,1620.690,304.598,201.149,285.322,152.257,156.622,0.489,316.562,5827.586,1695.402,164.197,166.909,1.874,0.534,0.870
30,16283.526,0,74,574.036,3195.402,2258.621,172.414,149.425,156.904,132.137,163.030,0.621,173.940,3195.402,2344.828,7.595,143.473,1.187,0.842,0.851
31,89509.847,0,168,1678.103,4137.931,1373.563,385.057,339.080,373.051,305.501,163.148,0.399,424.043,4137.931,1425.287,147.171,318.855,1.221,0.819,0.882
