 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,4227.771,138.886,2310.345,321.839,65.556,79.551
2,18100.146,187.113,4390.805,275.862,169.380,154.241
3,21138.857,246.792,2011.494,367.816,27.759,149.980
4,5681.068,108.437,1080.460,241.379,147.995,68.966
5,5813.186,197.755,1678.161,379.310,35.538,62.126
6,18496.500,196.414,1678.161,482.759,159.444,154.426
7,125644.081,581.682,505.747,574.713,142.224,307.067
8,9776.721,226.702,6241.379,655.172,30.466,189.076
9,22988.507,262.613,1000.000,678.161,23.199,178.809
10,11758.489,232.457,6413.793,620.690,98.531,149.425
11,15325.671,211.944,3344.828,689.655,167.471,108.748
12,9116.132,178.439,4482.759,689.655,104.931,102.837
13,91557.674,712.736,4149.425,724.138,127.794,214.866
14,5548.950,156.339,4402.299,735.632,107.103,59.263
15,4359.889,138.886,6310.345,942.529,114.444,92.033
16,9380.368,278.009,5448.276,1206.897,60.255,103.012
17,7794.953,114.943,3103.448,1011.494,126.870,97.532
18,33293.700,399.001,5517.242,1149.425,101.634,218.102
19,10437.311,170.874,5183.908,1298.851,42.274,126.437
20,5548.950,156.339,3678.161,1367.816,72.897,83.622
21,4492.007,156.339,3747.127,1241.379,126.027,83.623
22,31708.285,374.226,298.851,1310.345,137.490,190.449
23,23384.860,226.702,1264.368,1471.264,59.534,146.412
24,18232.264,211.319,862.069,1505.747,67.620,134.743
25,4227.771,123.797,6172.414,1471.264,68.199,80.460
26,11494.253,169.711,5206.897,1551.724,61.699,132.811
27,10701.546,240.007,3609.195,1528.736,16.699,110.296
28,35936.057,399.001,5586.207,1735.632,48.504,148.976
29,7134.364,140.305,4747.127,1574.713,55.008,100.436
30,23913.332,284.584,6137.931,1816.092,43.363,217.045
31,5284.714,175.828,3183.908,1655.172,168.690,81.638
32,17175.321,232.741,2954.023,1655.172,110.225,138.170
33,13608.139,240.007,4850.575,1735.632,16.699,116.806
34,9248.250,192.679,4195.402,1850.575,72.646,147.422
35,35671.821,323.681,5747.127,1839.081,173.884,205.674
36,12815.432,164.573,4448.276,2045.977,77.905,123.892
37,5152.596,156.339,7206.897,2034.483,72.897,88.011
38,17307.439,188.520,3988.506,2068.966,37.569,143.983
39,674990.125,1494.253,5091.954,1931.035,126.870,1147.670
40,5020.479,162.553,7126.437,1942.529,98.130,80.460
41,7002.246,151.183,5712.644,1965.517,98.746,101.566
42,6870.128,118.341,4563.219,1977.012,119.055,92.550
43,5681.068,181.740,1068.966,2172.414,161.565,114.943
44,17043.203,181.740,4563.219,2183.908,145.305,149.425
45,8984.014,149.867,5413.793,2183.908,147.529,87.451
46,18100.146,345.593,7045.977,2528.736,86.186,135.916
47,13211.786,147.198,4379.310,2321.839,128.660,126.437
48,8587.661,169.711,6793.104,2390.805,151.699,126.437
49,35803.939,313.943,3896.552,2459.770,156.251,210.157
50,22327.918,310.558,6620.690,2459.770,141.009,159.647
51,25498.746,228.154,2977.012,2482.759,130.914,206.755
52,6209.539,172.797,6908.046,2632.184,176.186,68.966
53,20346.150,198.422,5126.437,2735.632,10.008,147.971
54,23913.332,258.301,551.724,2678.161,122.276,164.446
55,25762.982,346.547,4022.989,2793.104,5.711,175.324
56,10569.428,156.339,6632.184,2712.644,107.103,133.697
57,1428590.373,1893.798,586.207,3057.471,167.735,1358.642
58,7266.482,145.392,2321.839,2896.552,71.565,91.954
59,4227.771,128.510,6195.402,2770.115,100.305,79.074
60,52318.671,398.338,6804.598,2885.058,133.831,244.861
61,6077.421,165.772,4597.701,2885.058,146.310,80.989
62,97502.977,807.548,6379.311,3701.150,85.101,267.172
63,12683.314,218.088,2908.046,2908.046,108.435,114.943
64,41088.653,416.498,4344.828,2988.506,140.599,292.396
65,4227.771,105.972,7114.943,3011.494,49.399,72.006
66,4227.771,122.186,4057.471,3068.966,48.814,69.090
67,24838.157,229.885,6609.196,3000.000,126.870,154.241
68,121944.781,693.190,5609.196,3103.448,139.708,421.804
69,8719.778,131.055,7080.460,3252.874,142.125,114.943
70,67115.871,408.167,3896.552,3528.736,170.272,231.882
71,24706.039,211.944,4804.598,3471.264,130.601,190.258
72,7266.482,179.546,2436.782,3643.678,39.806,89.404
73,14797.200,165.772,2988.506,3678.161,56.310,126.437
74,19157.089,231.317,5620.690,3563.218,153.435,130.043
75,8984.014,139.834,5528.736,3632.184,99.462,91.954
76,28008.985,344.828,3310.345,3873.563,36.870,152.346
77,18496.500,205.615,6494.253,3850.575,63.435,160.920
78,51393.846,326.728,5275.862,3724.138,140.711,254.519
79,9248.250,163.364,3643.678,3724.138,129.289,105.660
80,8719.778,200.739,91.954,3988.506,66.371,105.805
81,47694.546,382.605,7114.943,3816.092,122.735,228.812
